MiniDOT Logger Concatenated Data File
Sensor:             7392-419694
Concatenation Date: 2018Apr07 15:30:50 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 246.89 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1519120680,           2018-02-20 09:58:00,           2018-02-20 03:58:00,      3.450000,      7.268000,          0.035000,                     0.298995,      0.968000
                1519121280,           2018-02-20 10:08:00,           2018-02-20 04:08:00,      3.450000,      7.248000,          0.036000,                     0.307385,      0.968000
                1519121880,           2018-02-20 10:18:00,           2018-02-20 04:18:00,      3.450000,      7.220000,          0.036000,                     0.307172,      0.968000
                1519122480,           2018-02-20 10:28:00,           2018-02-20 04:28:00,      3.450000,      7.210000,          0.036000,                     0.307095,      0.968000
                1519123080,           2018-02-20 10:38:00,           2018-02-20 04:38:00,      3.450000,      7.201000,          0.035000,                     0.298498,      0.968000
                1519123680,           2018-02-20 10:48:00,           2018-02-20 04:48:00,      3.450000,      7.153000,          0.036000,                     0.306661,      0.968000
                1519124280,           2018-02-20 10:58:00,           2018-02-20 04:58:00,      3.450000,      7.143000,          0.033000,                     0.281036,      0.968000
                1519124880,           2018-02-20 11:08:00,           2018-02-20 05:08:00,      3.450000,      7.133000,          0.035000,                     0.297994,      0.968000
                1519125480,           2018-02-20 11:18:00,           2018-02-20 05:18:00,      3.450000,      7.124000,          0.035000,                     0.297928,      0.968000
                1519126080,           2018-02-20 11:28:00,           2018-02-20 05:28:00,      3.450000,      7.105000,          0.035000,                     0.297787,      0.968000
                1519126680,           2018-02-20 11:38:00,           2018-02-20 05:38:00,      3.450000,      7.085000,          0.035000,                     0.297639,      0.968000
                1519127280,           2018-02-20 11:48:00,           2018-02-20 05:48:00,      3.450000,      7.076000,          0.034000,                     0.289070,      0.968000
                1519127880,           2018-02-20 11:58:00,           2018-02-20 05:58:00,      3.450000,      7.057000,          0.033000,                     0.280436,      0.968000
                1519128480,           2018-02-20 12:08:00,           2018-02-20 06:08:00,      3.450000,      7.047000,          0.036000,                     0.305854,      0.969000
                1519129080,           2018-02-20 12:18:00,           2018-02-20 06:18:00,      3.450000,      7.047000,          0.034000,                     0.288862,      0.968000
                1519129680,           2018-02-20 12:28:00,           2018-02-20 06:28:00,      3.450000,      7.009000,          0.036000,                     0.305564,      0.968000
                1519130280,           2018-02-20 12:38:00,           2018-02-20 06:38:00,      3.450000,      6.999000,          0.034000,                     0.288517,      0.968000
                1519130880,           2018-02-20 12:48:00,           2018-02-20 06:48:00,      3.450000,      6.970000,          0.033000,                     0.279829,      0.968000
                1519131480,           2018-02-20 12:58:00,           2018-02-20 06:58:00,      3.450000,      6.951000,          0.035000,                     0.296647,      0.969000
                1519132080,           2018-02-20 13:08:00,           2018-02-20 07:08:00,      3.450000,      6.912000,          0.033000,                     0.279424,      0.968000
                1519132680,           2018-02-20 13:18:00,           2018-02-20 07:18:00,      3.450000,      6.855000,          0.034000,                     0.287482,      0.969000
                1519133280,           2018-02-20 13:28:00,           2018-02-20 07:28:00,      3.450000,      6.797000,          0.033000,                     0.278623,      0.968000
                1519133880,           2018-02-20 13:38:00,           2018-02-20 07:38:00,      3.440000,      6.613000,          0.032000,                     0.268937,      0.968000
                1519134480,           2018-02-20 13:48:00,           2018-02-20 07:48:00,      3.440000,      6.487000,          0.032000,                     0.268087,      0.969000
                1519135080,           2018-02-20 13:58:00,           2018-02-20 07:58:00,      3.440000,      6.371000,          0.034000,                     0.284012,      0.969000
                1519135680,           2018-02-20 14:08:00,           2018-02-20 08:08:00,      3.440000,      6.293000,          0.033000,                     0.275117,      0.969000
                1519136280,           2018-02-20 14:18:00,           2018-02-20 08:18:00,      3.440000,      6.196000,          0.034000,                     0.282760,      0.969000
                1519136880,           2018-02-20 14:28:00,           2018-02-20 08:28:00,      3.440000,      6.108000,          0.033000,                     0.273833,      0.969000
                1519137480,           2018-02-20 14:38:00,           2018-02-20 08:38:00,      3.440000,      6.030000,          0.035000,                     0.289856,      0.969000
                1519138080,           2018-02-20 14:48:00,           2018-02-20 08:48:00,      3.440000,      5.971000,          0.035000,                     0.289422,      0.969000
                1519138680,           2018-02-20 14:58:00,           2018-02-20 08:58:00,      3.440000,      5.912000,          0.034000,                     0.280732,      0.969000
                1519139280,           2018-02-20 15:08:00,           2018-02-20 09:08:00,      3.440000,      5.814000,          0.034000,                     0.280033,      0.969000
                1519139880,           2018-02-20 15:18:00,           2018-02-20 09:18:00,      3.440000,      5.726000,          0.034000,                     0.279405,      0.969000
                1519140480,           2018-02-20 15:28:00,           2018-02-20 09:28:00,      3.440000,      5.647000,          0.034000,                     0.278843,      0.969000
                1519141080,           2018-02-20 15:38:00,           2018-02-20 09:38:00,      3.440000,      5.598000,          0.035000,                     0.286685,      0.969000
                1519141680,           2018-02-20 15:48:00,           2018-02-20 09:48:00,      3.440000,      5.519000,          0.035000,                     0.286106,      0.969000
                1519142280,           2018-02-20 15:58:00,           2018-02-20 09:58:00,      3.440000,      5.460000,          0.036000,                     0.293836,      0.969000
                1519142880,           2018-02-20 16:08:00,           2018-02-20 10:08:00,      3.440000,      5.460000,          0.034000,                     0.277512,      0.969000
                1519143480,           2018-02-20 16:18:00,           2018-02-20 10:18:00,      3.440000,      5.469000,          0.035000,                     0.285740,      0.969000
                1519144080,           2018-02-20 16:28:00,           2018-02-20 10:28:00,      3.440000,      5.450000,          0.034000,                     0.277441,      0.969000
                1519144680,           2018-02-20 16:38:00,           2018-02-20 10:38:00,      3.440000,      5.430000,          0.034000,                     0.277298,      0.969000
