MiniDOT Logger Concatenated Data File
Sensor:             7392-080779
Concatenation Date: 2018Apr22 17:19:16 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 249.02 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1517397240,           2018-01-31 11:14:00,           2018-01-31 05:14:00,      3.430000,      2.304000,         12.564000,                    94.376887,      0.995000
                1517397840,           2018-01-31 11:24:00,           2018-01-31 05:24:00,      3.430000,      2.272000,         12.574000,                    94.369872,      0.997000
                1517398440,           2018-01-31 11:34:00,           2018-01-31 05:34:00,      3.430000,      2.240000,         12.548000,                    94.092799,      0.996000
                1517399040,           2018-01-31 11:44:00,           2018-01-31 05:44:00,      3.430000,      2.187000,         12.605000,                    94.383943,      0.996000
                1517399640,           2018-01-31 11:54:00,           2018-01-31 05:54:00,      3.430000,      2.177000,         12.597000,                    94.298350,      0.997000
                1517400240,           2018-01-31 12:04:00,           2018-01-31 06:04:00,      3.430000,      2.230000,         12.496000,                    93.677375,      0.996000
                1517400840,           2018-01-31 12:14:00,           2018-01-31 06:14:00,      3.430000,      2.156000,         12.555000,                    93.930186,      0.997000
                1517401440,           2018-01-31 12:24:00,           2018-01-31 06:24:00,      3.430000,      2.156000,         12.501000,                    93.526185,      0.995000
                1517402040,           2018-01-31 12:34:00,           2018-01-31 06:34:00,      3.430000,      2.124000,         12.529000,                    93.653933,      0.996000
                1517402640,           2018-01-31 12:44:00,           2018-01-31 06:44:00,      3.430000,      2.124000,         12.479000,                    93.280184,      0.996000
                1517403240,           2018-01-31 12:54:00,           2018-01-31 06:54:00,      3.430000,      2.092000,         12.508000,                    93.415384,      0.996000
                1517403840,           2018-01-31 13:04:00,           2018-01-31 07:04:00,      3.430000,      2.145000,         12.476000,                    93.311168,      0.996000
                1517404440,           2018-01-31 13:14:00,           2018-01-31 07:14:00,      3.430000,      2.113000,         12.449000,                    93.028023,      0.996000
                1517405040,           2018-01-31 13:24:00,           2018-01-31 07:24:00,      3.430000,      2.103000,         12.474000,                    93.189419,      0.996000
                1517405640,           2018-01-31 13:34:00,           2018-01-31 07:34:00,      3.430000,      2.103000,         12.532000,                    93.622719,      0.996000
                1517406240,           2018-01-31 13:44:00,           2018-01-31 07:44:00,      3.430000,      2.071000,         12.500000,                    93.302149,      0.996000
                1517406840,           2018-01-31 13:54:00,           2018-01-31 07:54:00,      3.420000,      2.092000,         12.585000,                    93.990454,      0.997000
                1517407440,           2018-01-31 14:04:00,           2018-01-31 08:04:00,      3.420000,      2.124000,         12.605000,                    94.222031,      0.996000
                1517408040,           2018-01-31 14:14:00,           2018-01-31 08:14:00,      3.420000,      2.124000,         12.669000,                    94.700429,      0.995000
                1517408640,           2018-01-31 14:24:00,           2018-01-31 08:24:00,      3.420000,      2.156000,         12.793000,                    95.710782,      0.996000
                1517409240,           2018-01-31 14:34:00,           2018-01-31 08:34:00,      3.420000,      2.166000,         12.898000,                    96.522638,      0.995000
                1517409840,           2018-01-31 14:44:00,           2018-01-31 08:44:00,      3.420000,      2.209000,         13.002000,                    97.414949,      0.996000
                1517410440,           2018-01-31 14:54:00,           2018-01-31 08:54:00,      3.420000,      2.240000,         13.059000,                    97.924599,      0.995000
                1517411040,           2018-01-31 15:04:00,           2018-01-31 09:04:00,      3.420000,      2.261000,         13.217000,                    99.166019,      0.997000
                1517411640,           2018-01-31 15:14:00,           2018-01-31 09:14:00,      3.420000,      2.346000,         13.294000,                    99.974426,      0.996000
                1517412240,           2018-01-31 15:24:00,           2018-01-31 09:24:00,      3.420000,      2.483000,         13.385000,                   101.033473,      0.996000
                1517412840,           2018-01-31 15:34:00,           2018-01-31 09:34:00,      3.420000,      2.556000,         13.477000,                   101.929121,      0.995000
                1517413440,           2018-01-31 15:44:00,           2018-01-31 09:44:00,      3.420000,      2.671000,         13.574000,                   102.982255,      0.996000
                1517414040,           2018-01-31 15:54:00,           2018-01-31 09:54:00,      3.420000,      2.755000,         13.712000,                   104.265168,      0.995000
                1517414640,           2018-01-31 16:04:00,           2018-01-31 10:04:00,      3.420000,      2.859000,         13.878000,                   105.823309,      0.996000
                1517415240,           2018-01-31 16:14:00,           2018-01-31 10:14:00,      3.420000,      3.005000,         13.971000,                   106.951053,      0.996000
                1517415840,           2018-01-31 16:24:00,           2018-01-31 10:24:00,      3.420000,      3.181000,         14.154000,                   108.863846,      0.995000
                1517416440,           2018-01-31 16:34:00,           2018-01-31 10:34:00,      3.420000,      3.264000,         14.176000,                   109.275088,      0.995000
