DateTime,tz_cd,GageHeight_ft
1/5/2018 19:15,CST,6.4
1/5/2018 19:30,CST,6.41
1/5/2018 19:45,CST,6.41
1/5/2018 20:00,CST,6.41
1/5/2018 20:15,CST,6.42
1/5/2018 20:30,CST,6.43
1/5/2018 20:45,CST,6.42
1/5/2018 21:00,CST,6.42
1/5/2018 21:15,CST,6.43
1/5/2018 21:30,CST,6.42
1/5/2018 21:45,CST,6.42
1/5/2018 22:00,CST,6.42
1/5/2018 22:15,CST,6.42
1/5/2018 22:30,CST,6.41
1/5/2018 22:45,CST,6.4
1/5/2018 23:00,CST,6.4
1/5/2018 23:15,CST,6.4
1/5/2018 23:30,CST,6.39
1/5/2018 23:45,CST,6.39
1/6/2018 0:00,CST,6.39
1/6/2018 0:15,CST,6.38
1/6/2018 0:30,CST,6.38
1/6/2018 0:45,CST,6.38
1/6/2018 1:00,CST,6.37
1/6/2018 1:15,CST,6.37
1/6/2018 1:30,CST,6.36
1/6/2018 1:45,CST,6.36
1/6/2018 2:00,CST,6.36
1/6/2018 2:15,CST,6.36
1/6/2018 2:30,CST,6.35
1/6/2018 2:45,CST,6.35
1/6/2018 3:00,CST,6.34
1/6/2018 3:15,CST,6.33
1/6/2018 3:30,CST,6.34
1/6/2018 3:45,CST,6.33
1/6/2018 4:00,CST,6.32
1/6/2018 4:15,CST,6.31
1/6/2018 4:30,CST,6.32
1/6/2018 4:45,CST,6.31
1/6/2018 5:00,CST,6.31
1/6/2018 5:15,CST,6.31
1/6/2018 5:30,CST,6.3
1/6/2018 5:45,CST,6.31
1/6/2018 6:00,CST,6.3
1/6/2018 6:15,CST,6.31
1/6/2018 6:30,CST,6.31
1/6/2018 6:45,CST,6.31
1/6/2018 7:00,CST,6.3
1/6/2018 7:15,CST,6.31
1/6/2018 7:30,CST,6.31
1/6/2018 7:45,CST,6.31
1/6/2018 8:00,CST,6.32
1/6/2018 8:15,CST,6.33
1/6/2018 8:30,CST,6.33
1/6/2018 8:45,CST,6.33
1/6/2018 9:00,CST,6.33
1/6/2018 9:15,CST,6.34
1/6/2018 9:30,CST,6.35
1/6/2018 9:45,CST,6.35
1/6/2018 10:00,CST,6.36
1/6/2018 10:15,CST,6.35
1/6/2018 10:30,CST,6.36
1/6/2018 10:45,CST,6.36
1/6/2018 11:00,CST,6.36
1/6/2018 11:15,CST,6.36
1/6/2018 11:30,CST,6.37
1/6/2018 11:45,CST,6.37
1/6/2018 12:00,CST,6.37
1/6/2018 12:15,CST,6.37
1/6/2018 12:30,CST,6.38
1/6/2018 12:45,CST,6.38
1/6/2018 13:00,CST,6.39
1/6/2018 13:15,CST,6.39
1/6/2018 13:30,CST,6.4
1/6/2018 13:45,CST,6.4
1/6/2018 14:00,CST,6.41
1/6/2018 14:15,CST,6.41
1/6/2018 14:30,CST,6.42
1/6/2018 14:45,CST,6.44
1/6/2018 15:00,CST,6.45
1/6/2018 15:15,CST,6.46
1/6/2018 15:30,CST,6.45
1/6/2018 15:45,CST,6.48
1/6/2018 16:00,CST,6.48
1/6/2018 16:15,CST,6.49
1/6/2018 16:30,CST,6.49
1/6/2018 16:45,CST,6.49
1/6/2018 17:00,CST,6.5
1/6/2018 17:15,CST,6.51
1/6/2018 17:30,CST,6.51
1/6/2018 17:45,CST,6.51
1/6/2018 18:00,CST,6.52
1/6/2018 18:15,CST,6.51
1/6/2018 18:30,CST,6.52
1/6/2018 18:45,CST,6.51
1/6/2018 19:00,CST,6.52
1/6/2018 19:15,CST,6.51
1/6/2018 19:30,CST,6.52
1/6/2018 19:45,CST,6.51
1/6/2018 20:00,CST,6.51
1/6/2018 20:15,CST,6.51
1/6/2018 20:30,CST,6.49
1/6/2018 20:45,CST,6.49
1/6/2018 21:00,CST,6.48
1/6/2018 21:15,CST,6.48
1/6/2018 21:30,CST,6.47
1/6/2018 21:45,CST,6.48
1/6/2018 22:00,CST,6.46
1/6/2018 22:15,CST,6.45
1/6/2018 22:30,CST,6.44
1/6/2018 22:45,CST,6.44
1/6/2018 23:00,CST,6.43
1/6/2018 23:15,CST,6.42
1/6/2018 23:30,CST,6.42
1/6/2018 23:45,CST,6.4
1/7/2018 0:00,CST,6.39
1/7/2018 0:15,CST,6.38
1/7/2018 0:30,CST,6.38
1/7/2018 0:45,CST,6.36
1/7/2018 1:00,CST,6.37
1/7/2018 1:15,CST,6.35
1/7/2018 1:30,CST,6.34
1/7/2018 1:45,CST,6.34
1/7/2018 2:00,CST,6.33
1/7/2018 2:15,CST,6.31
1/7/2018 2:30,CST,6.32
1/7/2018 2:45,CST,6.32
1/7/2018 3:00,CST,6.31
1/7/2018 3:15,CST,6.31
1/7/2018 3:30,CST,6.3
1/7/2018 3:45,CST,6.28
1/7/2018 4:00,CST,6.29
1/7/2018 4:15,CST,6.29
1/7/2018 4:30,CST,6.28
1/7/2018 4:45,CST,6.27
1/7/2018 5:00,CST,6.27
1/7/2018 5:15,CST,6.27
1/7/2018 5:30,CST,6.26
1/7/2018 5:45,CST,6.25
1/7/2018 6:00,CST,6.24
1/7/2018 6:15,CST,6.24
1/7/2018 6:30,CST,6.23
1/7/2018 6:45,CST,6.24
1/7/2018 7:00,CST,6.23
1/7/2018 7:15,CST,6.23
1/7/2018 7:30,CST,6.23
1/7/2018 7:45,CST,6.22
1/7/2018 8:00,CST,6.21
1/7/2018 8:15,CST,6.2
1/7/2018 8:30,CST,6.21
1/7/2018 8:45,CST,6.2
1/7/2018 9:00,CST,6.2
1/7/2018 9:15,CST,6.19
1/7/2018 9:30,CST,6.19
1/7/2018 9:45,CST,6.2
1/7/2018 10:00,CST,6.19
1/7/2018 10:15,CST,6.19
1/7/2018 10:30,CST,6.18
1/7/2018 10:45,CST,6.18
1/7/2018 11:00,CST,6.18
1/7/2018 11:15,CST,6.17
1/7/2018 11:30,CST,6.17
1/7/2018 11:45,CST,6.16
1/7/2018 12:00,CST,6.16
1/7/2018 12:15,CST,6.15
1/7/2018 12:30,CST,6.14
1/7/2018 12:45,CST,6.14
1/7/2018 13:00,CST,6.13
1/7/2018 13:15,CST,6.13
1/7/2018 13:30,CST,6.12
1/7/2018 13:45,CST,6.11
1/7/2018 14:00,CST,6.1
1/7/2018 14:15,CST,6.1
1/7/2018 14:30,CST,6.09
1/7/2018 14:45,CST,6.08
1/7/2018 15:00,CST,6.07
1/7/2018 15:15,CST,6.06
1/7/2018 15:30,CST,6.05
1/7/2018 15:45,CST,6.04
1/7/2018 16:00,CST,6.04
1/7/2018 16:15,CST,6.03
1/7/2018 16:30,CST,6.02
1/7/2018 16:45,CST,6
1/7/2018 17:00,CST,6.01
1/7/2018 17:15,CST,6
1/7/2018 17:30,CST,5.99
1/7/2018 17:45,CST,5.98
1/7/2018 18:00,CST,5.98
1/7/2018 18:15,CST,5.97
1/7/2018 18:30,CST,5.96
1/7/2018 18:45,CST,5.96
1/7/2018 19:00,CST,5.95
1/7/2018 19:15,CST,5.95
1/7/2018 19:30,CST,5.95
1/7/2018 19:45,CST,5.94
1/7/2018 20:00,CST,5.94
1/7/2018 20:15,CST,5.92
1/7/2018 20:30,CST,5.93
1/7/2018 20:45,CST,5.93
1/7/2018 21:00,CST,5.92
1/7/2018 21:15,CST,5.92
1/7/2018 21:30,CST,5.92
1/7/2018 21:45,CST,5.91
1/7/2018 22:00,CST,5.91
1/7/2018 22:15,CST,5.91
1/7/2018 22:30,CST,5.9
1/7/2018 22:45,CST,5.89
1/7/2018 23:00,CST,5.9
1/7/2018 23:15,CST,5.9
1/7/2018 23:30,CST,5.88
1/7/2018 23:45,CST,5.88
1/8/2018 0:00,CST,5.88
1/8/2018 0:15,CST,5.88
1/8/2018 0:30,CST,5.87
1/8/2018 0:45,CST,5.86
1/8/2018 1:00,CST,5.85
1/8/2018 1:15,CST,5.86
1/8/2018 1:30,CST,5.85
1/8/2018 1:45,CST,5.83
1/8/2018 2:00,CST,5.83
1/8/2018 2:15,CST,5.82
1/8/2018 2:30,CST,5.82
1/8/2018 2:45,CST,5.8
