"Date","Mean.Discharge_m3s.eric","Mean.Nitrate_mgL.eric","Mean.velocity_ms.eric","UaNO3_kgNm2day.eric","Mean.Discharge_m3s.steve","Mean.Nitrate_mgL.steve","Mean.velocity_ms.steve","UaNO3_kgNm2day.steve","Mean.Discharge_m3s.desoto","Mean.Nitrate_mgL.desoto","Mean.velocity_ms.desoto","UaNO3_kgNm2day.desoto","ReleaseStatus"
2018-04-26,40.1213645833333,3.38929677083333,0.308625881410256,1608.95616451011,40.0741666666667,0.25949465625,0.308262820512821,61.8982601747539,43.5689375,0.205875,0.335145673076923,37.4987790692308,"After"
2018-04-27,38.43476,2.36520625,0.295652,670.40654407776,38.418835,0.201747125,0.2955295,22.948813142577,44.5340604166667,0.188586956521739,0.342569695512821,NA,"After"
2018-04-28,43.6757125,2.11654708333333,0.335967019230769,415.354058452135,43.6609520833333,0.18039575,0.335853477564103,29.3640526850767,46.3422020833333,0.200729166666667,0.356478477564103,21.1748215673077,"After"
2018-04-29,37.4534,2.4366371875,0.288103076923077,382.485190872628,37.4991145833333,0.202041729166667,0.288454727564103,34.2016106736721,44.3039947916667,0.193333333333333,0.340799959935897,25.0283490576923,"After"
2018-04-30,38.105275,2.05976458333333,0.2931175,670.31762144724,38.0861020833333,0.211342322916667,0.292970016025641,32.4738503308357,41.8557770833333,0.188125,0.321967516025641,21.2807649392308,"After"
2018-05-01,38.619984375,2.0150725,0.297076802884615,352.161967229464,38.6140864583333,0.189510697916667,0.297031434294872,21.1273996613673,42.8557,0.1853125,0.329659230769231,16.8759153415385,"After"
2018-05-02,40.31530625,2.50934125,0.310117740384615,2238.90794745227,40.3204645833333,0.198503114583333,0.310157419871795,25.8152948130468,42.5017479166667,0.182083333333333,0.326936522435897,17.2308624784616,"After"
2018-05-03,63.4089739583333,3.4153228125,0.487761338141026,3563.62151948066,63.4089739583333,0.21669896875,0.487761338141026,123.788127836299,70.23746875,0.24875,0.540288221153846,134.440998646154,"After"
2018-05-04,190.687114583333,2.6137825,1.46682395833333,6154.5645985059,190.687114583333,0.775589020833333,1.46682395833333,3271.94807173232,218.770864583333,0.750104166666667,1.68285280448718,2108.64148966731,"After"
2018-05-05,127.369586458333,2.70209229166667,0.979766049679487,1102.43841822806,127.369586458333,0.678337739583333,0.979766049679487,2536.10567000841,178.0890625,1.62916666666667,1.36991586538462,389.40680423077,"After"
2018-05-06,83.96461625,2.52671125,0.645881663461539,486.373849454015,83.96461625,0,0.645881663461539,NA,101.36706125,1.236875,0.779746625,268.638307245,"After"
2018-05-07,85.854478125,1.94602875,0.6604190625,1232.18378705115,85.853003125,0.1901201875,0.660407716346154,633.087754379267,86.8556141304348,1.19554347826087,0.668120108695652,168.558685982609,"After"
2018-05-08,131.696075,2.59839575,1.01304673076923,1311.78033698505,131.696075,1.3771941625,1.01304673076923,1376.86505106735,128.126761904762,1.05583333333333,0.985590476190476,850.1664024,"After"
2018-05-09,117.541291666667,3.24315552083333,0.904163782051282,637.125743234284,117.541291666667,2.29860572916667,0.904163782051282,362.249682190131,124.649916666667,2.11282608695652,0.958845512820513,NA,"After"
2018-05-10,114.35121875,2.96663614583333,0.879624759615385,946.400150285948,114.35121875,2.04916333333333,0.879624759615385,224.102619263042,115.048802083333,2.1829347826087,0.88499078525641,NA,"After"
2018-05-11,101.004,2.75311,0.776953846153846,928.734838090338,101.004,1.63543854166667,0.776953846153846,280.407118331077,105.341452083333,1.93291666666667,0.810318862179487,359.50930767,"After"
2018-05-12,93.6519083333333,2.274594375,0.720399294871795,710.074255544363,93.6519083333333,1.54074239583333,0.720399294871795,139.534456399408,95.194596875,1.79625,0.732266129807692,214.477820356154,"After"
2018-05-13,82.0744770833333,2.14570583333333,0.631342131410256,449.151449524179,82.0744770833333,1.4062646875,0.631342131410256,165.002942888772,85.7969489583333,1.776875,0.659976530448718,117.180152934231,"After"
2018-05-14,79.8120760416667,2.093335625,0.613939046474359,425.429347122125,79.8120760416667,1.20842208333333,0.613939046474359,127.416202447507,79.6616395833333,1.60145833333333,0.612781842948718,151.42084452,"After"
2018-05-15,77.1160802083333,2.29639489583333,0.59320061698718,461.376714280513,77.1160802083333,1.04474186458333,0.59320061698718,146.904252113639,76.8506354166667,1.43184782608696,0.591158733974359,NA,"After"
2018-05-16,75.896409375,2.33791197916667,0.583818533653846,403.04091352792,75.896409375,0.876817104166667,0.583818533653846,127.335523096737,75.49083125,1.30083333333333,0.580698701923077,131.451603756923,"After"
2018-05-17,55.172040625,2.3450184375,0.4244003125,242.421176246737,55.172040625,0.79899071875,0.4244003125,92.7755183175255,63.04323125,1.09423913043478,0.484947932692308,NA,"After"
2018-05-18,45.8879583333333,2.1470740625,0.352984294871795,272.963853711485,45.8879583333333,0.507419760416667,0.352984294871795,183.104955498413,51.144278125,0.782826086956522,0.393417524038462,NA,"After"
2018-05-19,43.0008325,2.170976,0.330775634615385,300.942170390669,43.0008325,0.2183102125,0.330775634615385,60.0139044161469,48.05006375,0.337625,0.369615875,220.270363011,"After"
2018-05-20,45.8614114583333,1.857526875,0.352780088141026,471.047558099071,45.8614114583333,0.157116916666667,0.352780088141026,26.2312369288503,49.8287104166667,0.212291666666667,0.383297772435897,101.503382905385,"After"
2018-05-21,63.3942354166667,1.48939145833333,0.48764796474359,803.877511197406,63.3942354166667,0.150007666666667,0.48764796474359,21.2625412535513,59.5921229166667,0.2128125,0.458400945512821,42.477265215,"After"
2018-05-22,66.4441864583333,1.32795885416667,0.511109126602564,442.676778797096,66.4441864583333,0.151244635416667,0.511109126602564,22.0907223872656,66.4648427083333,0.235568181818182,0.511268020833333,NA,"After"
2018-05-23,59.2705958333333,1.26486741666667,0.45592766025641,174.326295674218,59.2705958333333,0.150475864583333,0.45592766025641,17.3941651027045,61.3914270833333,0.234782608695652,0.472241746794872,NA,"After"
2018-05-24,54.977353125,1.19637633333333,0.422902716346154,224.401655667404,54.977353125,0.150509677083333,0.422902716346154,11.2648829995425,57.2205927083333,0.225625,0.440158405448718,27.3813740861538,"After"
2018-05-25,57.7765916666667,1.46952704166667,0.444435320512821,313.102410636827,57.7765916666667,0.1527085625,0.444435320512821,15.6536786414423,57.5893010416667,0.222173913043478,0.442994623397436,NA,"After"
2018-05-26,54.9360729166667,1.36016410416667,0.422585176282051,374.378404479539,54.9360729166667,0.167781833333333,0.422585176282051,21.3651969077925,57.51850625,0.236770833333333,0.442450048076923,36.2207307357692,"After"
2018-05-27,52.1737052083333,1.34301307291667,0.401336193910256,312.596598777695,52.1737052083333,0.170284291666667,0.401336193910256,12.0191948236044,53.2090458333333,0.246931818181818,0.409300352564103,NA,"After"
2018-05-28,49.9481739583333,1.27799963541667,0.38421672275641,308.263520750342,49.9481739583333,0.172201239583333,0.38421672275641,16.6215160376062,51.9082291666667,0.239875,0.399294070512821,NA,"After"
2018-05-29,49.6310958333333,1.2876655,0.38177766025641,333.347851959422,49.6310958333333,0.1809010625,0.38177766025641,10.4035890662973,49.926075,0.243804347826087,0.384046730769231,NA,"After"
2018-05-30,50.3744,1.34657077083333,0.387495384615385,423.811458881457,50.3744,0.177044645833333,0.387495384615385,14.6450489255778,50.079434375,0.244886363636364,0.385226418269231,NA,"After"
2018-05-31,56.3765171052632,1.25159522368421,0.433665516194332,307.173189455076,56.3765171052632,0.179360460526316,0.433665516194332,10.2940676689421,53.2989210526316,0.243289473684211,0.409991700404858,18.818619048583,"After"
2018-01-31,NA,NA,NA,NA,63.6066,NA,0.489281538461538,NA,68.8216125,0.885833333333333,0.529397019230769,NA,"During"
2018-02-01,NA,NA,NA,NA,66.7922572916667,NA,0.513786594551282,NA,73.237278125,0.842916666666667,0.563363677884615,79.096260375,"During"
2018-02-02,NA,NA,NA,NA,66.91316875,NA,0.514716682692308,NA,75.45838125,0.829270833333333,0.580449086538462,60.306338295,"During"
2018-02-03,NA,NA,NA,NA,69.648996875,NA,0.535761514423077,NA,76.07485625,0.816770833333333,0.585191201923077,85.0680746411539,"During"
2018-02-04,NA,NA,NA,NA,86.1774458333333,NA,0.66290342948718,NA,91.8785833333333,0.759166666666667,0.706758333333333,107.4724992,"During"
2018-02-05,NA,NA,NA,NA,82.0400472222222,NA,0.631077286324786,NA,NA,0.677395833333333,NA,NA,"During"
2018-02-06,NA,NA,NA,NA,72.4320104166667,NA,0.557169310897436,NA,NA,0.694375,NA,NA,"During"
2018-02-07,NA,NA,NA,NA,59.8959302083333,NA,0.460737924679487,NA,75.7474375,0.816875,0.582672596153846,45.3086210769232,"During"
2018-02-08,NA,NA,NA,NA,80.1291677083333,NA,0.616378213141026,NA,75.3875822916667,0.900104166666667,0.579904479166667,78.7881421574999,"During"
2018-02-09,NA,NA,NA,NA,96.7204154761905,NA,0.744003195970696,NA,96.00810375,0.8190625,0.738523875,189.989697987,"During"
2018-02-10,NA,NA,NA,NA,77.1927791666667,0.513194361111111,0.593790608974359,NA,NA,0.824583333333333,NA,NA,"During"
2018-02-11,NA,NA,NA,NA,68.7238642857143,0.52200203125,0.52864510989011,118.606188401638,78.7207,0.858854166666667,0.605543846153846,79.91725464,"During"
2018-02-12,NA,NA,NA,NA,62.6296775,0.552049010416667,0.48176675,209.832520918783,NA,0.837395833333333,NA,NA,"During"
2018-02-13,NA,NA,NA,NA,68.4470145833333,0.392955552083333,0.526515496794872,439.996731596762,68.5620555555556,0.864375,0.527400427350427,131.234103138462,"During"
2018-02-14,NA,NA,NA,NA,76.3491708333333,0.41928884375,0.587301314102564,423.429232287632,68.2576475,0.853020833333333,0.525058826923077,133.486755686308,"During"
2018-02-15,NA,NA,NA,NA,77.0452947916667,0.457311236111111,0.592656113782051,NA,77.5585322916667,0.904078947368421,0.596604094551282,NA,"During"
2018-02-16,NA,NA,NA,NA,66.7922483333333,0.690711857142857,0.513786525641026,NA,72.134096875,0.939583333333333,0.554877668269231,63.0429811580768,"During"
2018-02-17,NA,NA,NA,NA,60.2380958333333,0.695709489583333,0.463369967948718,117.887707679184,63.9900822916667,0.885,0.49223140224359,89.9483975203846,"During"
2018-02-18,NA,NA,NA,NA,58.0553354166667,0.71833325,0.446579503205128,68.864045968081,59.7396083333333,0.919166666666667,0.459535448717949,63.9232190584615,"During"
